epoch,mAP@50,mAP
429,0.514,0.357
430,0.514,0.357
431,0.514,0.357
432,0.515,0.357
433,0.515,0.358
434,0.514,0.358
435,0.514,0.358
436,0.515,0.358
437,0.515,0.358
438,0.515,0.358
439,0.516,0.358
440,0.516,0.358
441,0.516,0.359
442,0.516,0.359
443,0.516,0.359
444,0.517,0.359
445,0.517,0.359
446,0.517,0.359
447,0.517,0.360
448,0.517,0.360
449,0.518,0.360
450,0.518,0.360
451,0.518,0.360
452,0.518,0.361
453,0.519,0.361
454,0.519,0.361
455,0.520,0.361
456,0.520,0.361
457,0.520,0.362
458,0.521,0.362
459,0.520,0.362
460,0.521,0.362
461,0.521,0.362
462,0.521,0.362
463,0.521,0.362
464,0.522,0.362
465,0.522,0.363
466,0.522,0.363
467,0.522,0.362
468,0.522,0.363
469,0.522,0.363
470,0.523,0.363
471,0.523,0.363
472,0.523,0.363
473,0.522,0.363
474,0.523,0.363
475,0.523,0.363
476,0.523,0.363
477,0.523,0.362
478,0.523,0.363
479,0.524,0.363
480,0.524,0.363
481,0.524,0.363
482,0.524,0.363
483,0.524,0.364
484,0.524,0.364
485,0.524,0.364
486,0.525,0.364
487,0.525,0.364
488,0.525,0.364
489,0.524,0.364
490,0.525,0.364
491,0.525,0.365
492,0.525,0.365
493,0.525,0.365
494,0.525,0.365
495,0.526,0.366
496,0.526,0.366
497,0.526,0.366
498,0.527,0.367
499,0.527,0.368
500,0.527,0.367
